ID;ID_WMO;Station;Lon;Lat;Elevation;region;a1name;a2name
127;97230;Stasiun Meteorologi I Gusti Ngurah Rai;115.17;-8.75;4;Bali Nusa Tenggara;Bali;Badung
128;97232;Stasiun Geofisika Denpasar;115.21;-8.67689;15;Bali Nusa Tenggara;Bali;Kota Denpasar
129;97234;Pos Pengamatan Kahang-Kahang;115.61083;-8.365;155;Bali Nusa Tenggara;Bali;Karangasem
130;97236;Stasiun Klimatologi Jembrana;114.6176;-8.341;25;Bali Nusa Tenggara;Bali;Jembrana
