date,gauge,imergl,lseqmdl
2010-01-01,6.0,14.9,10.9
2010-01-05,39.0,39.2,39.1
2010-01-06,61.0,34.9,31.7
2010-01-07,49.0,22.9,19.2
2010-01-08,9.0,38.8,37.3
2010-01-09,24.0,84.9,91.7
2010-01-10,100.0,29.5,26.1
2010-01-11,48.0,46.4,52.4
2010-01-12,44.0,36.0,36.1
2010-01-13,50.0,40.2,43.7
2010-01-14,43.0,60.1,69.2
2010-01-15,110.0,2.2,0.0
2010-01-16,2.0,13.6,11.1
2010-01-17,16.0,76.5,79.4
2010-01-18,58.0,12.5,9.9
2010-01-19,25.0,38.8,42.7
2010-01-20,45.0,26.3,25.5
2010-01-21,42.0,4.7,1.0
2010-01-22,14.0,0.2,0.0
2010-01-23,9.0,0.9,0.0
2010-01-24,1.0,1.6,0.0
2010-01-26,17.0,7.1,3.4
2010-01-27,2.0,30.8,36.4
2010-01-28,17.0,3.8,0.0
2010-01-29,7.0,9.0,5.6
2010-01-30,9.0,45.4,51.2
2010-01-31,26.0,46.4,53.1
2010-02-01,42.0,30.5,29.4
2010-02-02,18.0,19.9,17.2
2010-02-03,9.0,4.2,1.0
2010-02-04,4.0,2.5,0.0
2010-02-06,10.0,26.7,25.1
2010-02-07,42.0,1.3,0.0
2010-02-08,1.0,2.1,0.0
2010-02-12,19.0,13.6,9.3
2010-02-13,1.0,0.7,0.0
2010-02-15,2.0,11.9,7.3
2010-02-16,19.0,1.7,0.0
2010-02-17,5.0,8.1,3.1
2010-02-18,10.0,0.1,0.0
2010-02-20,180.0,2.5,0.0
2010-02-21,1.0,5.6,1.7
2010-02-22,1.0,4.7,1.0
2010-02-23,45.0,6.0,2.2
2010-02-26,19.0,4.5,1.0
2010-02-27,1.0,0.0,0.0
2010-03-04,25.0,1.0,0.0
2010-03-06,50.0,0.6,0.0
2010-03-09,10.0,4.7,0.0
2010-03-12,35.0,0.7,0.0
2010-03-25,1.0,4.2,0.0
2010-03-26,1.0,1.2,0.0
2010-03-28,58.0,15.6,14.2
2010-03-29,55.0,8.9,5.1
