date,gauge,imergl,lseqmdl
2013-01-01,3.2,0.0,0.0
2013-01-02,0.2,0.6,0.0
2013-01-03,16.7,11.6,7.0
2013-01-04,0.8,23.9,18.6
2013-01-05,0.0,137.7,97.8
2013-01-06,82.2,70.5,85.6
2013-01-07,4.3,73.1,86.2
2013-01-08,1.2,3.7,1.0
2013-01-09,135.9,15.6,10.9
2013-01-10,89.8,65.0,82.7
2013-01-11,40.0,4.3,2.5
2013-01-12,6.8,0.6,0.0
2013-01-13,0.0,2.2,1.0
2013-01-14,1.5,2.1,1.0
2013-01-15,6.9,0.3,0.0
2013-01-16,19.5,6.9,4.4
2013-01-17,14.1,0.8,0.0
2013-01-18,0.1,0.4,0.0
2013-01-19,0.9,2.0,1.0
2013-01-20,1.0,1.0,0.0
2013-01-21,5.1,0.0,0.0
2013-01-22,179.4,91.7,127.4
2013-01-23,2.4,81.8,127.1
2013-01-24,28.8,32.7,30.0
2013-01-25,1.0,4.6,1.7
2013-01-26,4.1,23.1,18.5
2013-01-27,2.4,0.8,0.0
2013-01-28,57.5,0.0,0.0
2013-01-29,109.7,0.4,0.0
2013-01-30,14.2,1.2,0.0
2013-01-31,6.2,0.0,0.0
2013-02-01,0.8,0.1,0.0
2013-02-02,6.4,0.0,0.0
2013-02-03,1.8,2.0,1.0
2013-02-04,70.2,1.6,1.0
2013-02-05,8.9,0.8,0.0
2013-02-06,2.9,71.4,63.5
2013-02-07,12.7,11.3,7.7
2013-02-08,10.4,12.2,8.4
2013-02-09,0.0,39.9,31.2
2013-02-10,0.8,16.2,11.6
2013-02-11,1.0,10.8,8.5
2013-02-12,8.2,0.3,0.0
2013-02-13,50.0,0.0,0.0
2013-02-14,12.7,0.0,0.0
2013-02-15,8.1,0.1,0.0
2013-02-16,0.0,12.8,10.3
2013-02-17,38.5,3.7,2.1
2013-02-18,0.4,0.4,0.0
2013-02-19,0.0,2.6,1.2
2013-02-20,4.2,2.2,1.0
2013-02-21,4.2,18.2,16.9
2013-02-22,63.0,41.4,58.4
2013-02-23,4.1,3.9,1.1
2013-02-24,48.3,4.1,1.3
2013-02-25,0.0,1.2,0.0
2013-02-26,71.6,4.4,1.5
2013-02-27,0.0,0.0,0.0
2013-02-28,0.0,38.7,53.0
2013-03-01,0.1,87.7,110.1
2013-03-02,9.4,11.0,8.6
2013-03-03,1.4,0.3,0.0
2013-03-04,3.5,0.0,0.0
2013-03-05,5.2,0.2,0.0
2013-03-06,0.2,0.6,0.0
2013-03-07,0.1,87.0,107.7
2013-03-08,0.1,17.2,15.1
2013-03-09,0.1,5.7,3.4
2013-03-10,5.7,0.9,0.0
2013-03-11,1.1,5.5,2.8
2013-03-12,12.7,0.3,0.0
2013-03-13,9.3,1.8,0.0
2013-03-14,19.6,0.0,0.0
2013-03-15,0.0,0.9,0.0
2013-03-16,0.0,36.5,56.6
2013-03-17,0.0,4.1,1.5
2013-03-18,5.4,0.6,0.0
2013-03-19,1.6,0.0,0.0
2013-03-20,0.3,20.2,20.0
2013-03-21,2.5,1.8,0.0
2013-03-22,5.8,0.0,0.0
2013-03-23,0.0,0.8,0.0
2013-03-24,42.2,3.0,1.0
2013-03-25,15.6,33.2,30.5
2013-03-26,1.0,4.0,1.8
2013-03-27,20.7,13.9,10.7
2013-03-28,0.2,0.1,0.0
2013-03-29,25.5,26.2,22.1
2013-03-30,11.2,1.3,0.0
2013-03-31,0.0,5.5,3.2
2013-04-01,2.6,1.5,0.0
2013-04-02,0.0,5.3,1.4
2013-04-03,0.2,3.0,1.0
2013-04-04,0.0,1.0,0.0
2013-04-05,0.0,0.7,0.0
2013-04-06,0.0,0.5,0.0
2013-04-07,0.0,1.2,0.0
2013-04-08,34.5,0.0,0.0
2013-04-09,0.2,0.5,0.0
2013-04-10,11.1,3.6,1.0
2013-04-11,0.9,1.3,1.0
2013-04-12,0.0,15.2,10.7
2013-04-13,16.2,13.8,10.3
2013-04-14,0.4,26.6,19.5
2013-04-15,0.0,2.5,1.6
2013-04-16,0.0,15.2,11.4
2013-04-17,0.0,5.9,4.2
2013-04-18,1.6,0.4,0.0
2013-04-19,0.0,2.4,1.5
2013-04-20,0.0,12.8,9.5
2013-04-21,0.0,21.2,21.2
2013-04-22,25.5,2.9,1.0
2013-04-23,0.0,0.0,0.0
2013-04-24,0.0,36.9,48.1
2013-04-25,0.9,11.0,9.6
2013-04-26,0.8,5.1,3.1
2013-04-27,31.9,22.6,23.7
2013-04-28,15.4,16.0,14.0
2013-04-29,0.3,7.5,5.5
2013-04-30,0.3,12.9,10.9
2013-05-01,0.6,0.0,0.0
2013-05-02,6.3,1.2,0.0
2013-05-03,0.4,0.1,0.0
2013-05-04,6.8,0.2,0.0
2013-05-05,0.5,0.1,0.0
2013-05-06,0.5,1.1,0.0
2013-05-07,0.0,0.1,0.0
2013-05-08,0.0,1.4,0.0
2013-05-09,41.6,18.2,13.0
2013-05-10,38.8,0.5,0.0
2013-05-11,32.5,22.9,19.6
2013-05-12,0.1,7.3,3.4
2013-05-13,0.0,0.2,0.0
2013-05-14,0.6,5.8,2.3
2013-05-15,1.4,0.3,0.0
2013-05-16,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0
2013-05-18,3.2,1.1,0.0
2013-05-19,46.0,3.8,1.0
2013-05-20,0.5,1.6,0.0
2013-05-21,0.0,0.2,0.0
2013-05-22,3.4,0.1,0.0
2013-05-23,11.0,1.7,0.0
2013-05-24,0.2,0.1,0.0
2013-05-25,0.0,2.1,1.0
2013-05-26,2.0,0.0,0.0
2013-05-27,0.2,2.0,0.0
2013-05-28,1.2,0.6,0.0
2013-05-29,1.5,19.6,24.7
2013-05-30,8.5,2.5,1.0
2013-05-31,41.3,10.4,9.3
2013-06-01,13.6,5.9,4.2
2013-06-02,6.4,6.6,4.9
2013-06-03,0.0,4.5,2.7
2013-06-04,0.0,6.2,4.6
2013-06-05,0.0,13.8,15.8
2013-06-06,3.8,0.3,0.0
2013-06-07,3.3,0.7,0.0
2013-06-08,1.7,0.5,0.0
2013-06-09,0.0,12.8,13.8
2013-06-10,0.1,8.4,7.3
2013-06-11,2.6,2.2,1.0
2013-06-12,0.0,8.8,5.1
2013-06-13,1.1,2.4,1.0
2013-06-14,0.0,1.2,0.0
2013-06-15,0.0,12.1,12.6
2013-06-16,0.2,2.5,1.0
2013-06-17,0.0,0.3,0.0
2013-06-18,4.7,0.0,0.0
2013-06-19,6.9,36.3,41.3
2013-06-20,0.0,15.6,10.6
2013-06-21,0.0,0.0,0.0
2013-06-22,1.4,0.2,0.0
2013-06-23,21.7,17.6,18.1
2013-06-24,1.7,2.5,0.0
2013-06-25,9.9,4.3,1.0
2013-06-26,2.6,0.7,0.0
2013-06-27,7.4,3.4,0.0
2013-06-28,9.2,3.1,0.0
2013-06-29,1.5,2.9,0.0
2013-06-30,8.0,8.0,4.4
2013-07-01,0.0,9.2,4.1
2013-07-02,3.2,6.5,1.7
2013-07-03,0.0,2.7,0.0
