date,gauge,imergl,lseqmdl
2010-01-01,7.0,2.2,0.0
2010-01-02,2.0,14.5,12.1
2010-01-03,0.0,4.8,1.0
2010-01-04,12.0,5.1,1.0
2010-01-05,0.0,3.3,0.0
2010-01-06,0.0,18.6,25.1
2010-01-07,12.0,0.4,0.0
2010-01-08,0.0,30.4,41.5
2010-01-09,21.0,11.1,7.4
2010-01-10,14.0,0.3,0.0
2010-01-11,0.0,3.6,0.0
2010-01-12,2.0,2.7,0.0
2010-01-13,53.0,12.8,12.5
2010-01-14,9.0,0.6,0.0
2010-01-15,1.0,2.7,0.0
2010-01-16,2.0,6.6,3.7
2010-01-17,2.0,0.6,0.0
2010-01-18,1.0,10.3,8.8
2010-01-19,31.0,3.1,0.0
2010-01-21,0.0,17.2,23.0
2010-01-22,71.0,1.6,0.0
2010-01-23,1.0,16.6,16.8
2010-01-24,42.0,6.4,3.9
2010-01-25,5.0,0.2,0.0
2010-01-26,0.0,0.1,0.0
2010-01-27,0.0,3.9,1.0
2010-01-28,7.0,6.2,3.7
2010-01-29,7.0,8.0,5.9
2010-01-30,71.0,0.1,0.0
2010-01-31,11.0,4.3,1.3
2010-02-01,0.0,0.2,0.0
2010-02-02,0.0,1.2,0.0
2010-02-03,24.0,9.9,6.7
2010-02-04,9.0,18.8,23.3
2010-02-05,2.0,9.7,5.9
2010-02-06,0.0,0.2,0.0
2010-02-07,1.0,16.8,13.1
2010-02-08,1.0,0.5,0.0
2010-02-09,0.0,4.5,1.0
2010-02-10,4.0,5.2,1.4
2010-02-11,0.0,0.1,0.0
2010-02-12,0.0,0.8,0.0
2010-02-13,0.0,0.0,0.0
2010-02-14,0.0,1.1,0.0
2010-02-15,0.0,1.0,0.0
2010-02-16,0.0,0.6,0.0
2010-02-17,50.0,15.4,26.3
2010-02-18,5.0,24.3,48.3
2010-02-19,0.0,1.2,0.0
2010-02-20,0.0,1.2,0.0
2010-02-21,18.0,7.4,3.5
2010-02-22,4.0,0.0,0.0
